"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"5/3/2024","5/3/2024","5/6/2024","PANW","PANW 5/10/2024 Call $305.00","BTO","18","$3.00","($5,400.54)"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","STC","8","$0.40","$319.73"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","STC","5","$0.40","$199.83"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","STC","2","$0.40","$79.92"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","STC","2","$0.40","$79.92"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","STC","5","$0.40","$199.83"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","STC","12","$0.40","$479.60"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","STC","66","$0.40","$2,637.81"
"5/3/2024","5/3/2024","5/6/2024","PANW","PANW 5/3/2024 Call $297.50","STC","5","$0.35","$174.83"
"5/3/2024","5/3/2024","5/6/2024","PANW","PANW 5/3/2024 Call $297.50","BTO","5","$0.74","($370.15)"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","BTO","19","$0.51","($969.57)"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","BTO","16","$0.51","($816.48)"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","BTO","1","$0.51","($51.03)"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","BTO","40","$0.51","($2,041.20)"
"5/3/2024","5/3/2024","5/6/2024","UPS","UPS 5/10/2024 Call $150.00","BTO","24","$0.51","($1,224.72)"
"5/3/2024","5/3/2024","5/6/2024","NVDA","NVDA 5/10/2024 Put $800.00","STC","10","$1.46","$1,459.65"
"5/3/2024","5/3/2024","5/6/2024","NVDA","NVDA 5/10/2024 Put $800.00","BTO","10","$2.04","($2,040.30)"
"5/3/2024","5/3/2024","5/6/2024","COST","COST 5/3/2024 Call $737.50","STC","6","$2.80","$1,679.78"
"5/3/2024","5/3/2024","5/6/2024","COST","COST 5/3/2024 Call $737.50","STC","4","$2.80","$1,119.86"
"5/3/2024","5/3/2024","5/6/2024","COST","COST 5/3/2024 Call $737.50","BTO","10","$1.50","($1,500.30)"
"5/3/2024","5/3/2024","5/6/2024","COST","COST 5/3/2024 Call $735.00","STC","35","$2.10","$7,348.79"
"5/1/2024","5/1/2024","5/2/2024","COST","COST 5/3/2024 Call $735.00","BTO","15","$0.90","($1,350.45)"
"5/1/2024","5/1/2024","5/2/2024","COST","COST 5/3/2024 Put $715.00","BTO","5","$1.88","($940.15)"
"5/1/2024","5/1/2024","5/2/2024","COST","COST 5/3/2024 Call $735.00","BTO","7","$1.60","($1,120.21)"
